id_recinte,id_ua,capa_dwg,superficie_dwg,nom_dwg,assignat_per,estat,vist_a,nota,centre_x,centre_y,canvi
R0107,TRIBALA_2,01 1 UA SUC,16724.1,Tribala 2,proposta,vigent,parcelles.json,,537297.62,26082.87,IGUAL
R0108,AVIAR_1,01 11 UA SUCc,19603.0,Aviar 1,proposta,vigent,parcelles.json,,537304.14,26315.38,IGUAL
R0109,COSTELLES_BAIXES,01 11 UA SUCc,31437.2,Costelles Baixes,proposta,vigent,parcelles.json,,537326.52,25959.34,IGUAL
R0110,AVIAR_4,01 2 UA SUNC,19646.6,Aviar 4,proposta,vigent,parcelles.json,,537335.73,26452.42,IGUAL
R0111,CANADILLA,01 2 UA SUNC,12392.1,Arribes del Mig; Canadilla; Casa Areny 4,proposta,vigent,parcelles.json,,537375.6,26546.63,IGUAL
R0112,FENEROLS_2,01 3 UA SUBLE,1390.9,Fenerols 2,proposta,vigent,parcelles.json,,537439.42,27170.7,IGUAL
R0113,AVIAR_6,01 2 UA SUNC,40827.8,Aviar 6; Carretera de Vila,proposta,vigent,parcelles.json,,537446.98,26265.93,IGUAL
R0114,CARRERA,01 3 UA SUBLE,3585.9,Carrera,proposta,vigent,parcelles.json,,537449.95,26959.08,IGUAL
R0115,TORRENTS_DE_L_OBAC_4,01 3 UA SUBLE,17245.5,Torrents de l'Obac 4,proposta,vigent,parcelles.json,,537461.83,25774.1,IGUAL
R0116,ESCARPIDERS,01 3 UA SUBLE,16350.6,Cresper,proposta,vigent,parcelles.json,,537462.53,25543.93,IGUAL
R0117,CORTADELLES,01 2 UA SUNC,2456.4,,proposta,vigent,parcelles.json,,537469.84,26634.63,IGUAL
R0118,HORTALS,01 2 UA SUNC,6246.7,Hortals,proposta,vigent,parcelles.json,,537478.55,26502.84,IGUAL
R0119,PRATS_DE_L_OBAC_1,01 3 UA SUBLE,38258.5,Prats de l'Obac; Prats de l'Obac 1,proposta,vigent,parcelles.json,,537480.59,25931.22,IGUAL
R0120,ARRIBES_DEL_MIG,01 1 UA SUC,86.2,,proposta,vigent,parcelles.json,,537481.8,26583.82,IGUAL
R0121,VENA_2,01 1 UA SUC,4336.1,Vena 2,proposta,vigent,parcelles.json,,537488.9,26091.74,IGUAL
R0122,CASA_ARENY_4,01 3 UA SUBLE,169.7,,proposta,vigent,parcelles.json,,537496.72,26546.07,IGUAL
R0123,CARRETERA_DE_VILA,01 1 UA SUC,603.6,,proposta,vigent,parcelles.json,,537509.84,26321.81,IGUAL
R0124,CASA_ARENY_2,01 2 UA SUNC,11395.1,Casa Areny 2; Pedral de Dalt,proposta,vigent,parcelles.json,,537518.64,26396.52,IGUAL
R0125,CAL_NOTARI_5,01 1 UA SUC,812.1,,proposta,vigent,parcelles.json,,537525.81,26476.13,IGUAL
R0126,TRIBALA_1,01 1 UA SUC,18076.3,Tribala 1,proposta,vigent,parcelles.json,,537533.77,26160.22,IGUAL
R0127,ESCARPIDERS,01 3 UA SUBLE,3922.4,Escarpiders,proposta,vigent,parcelles.json,,537538.2,25685.78,IGUAL
R0128,ENCAMP_2,01 1 UA SUC,1395.2,Encamp 2,proposta,vigent,parcelles.json,,537565.98,26341.94,IGUAL
R0129,RIU_BLANC_ALT,01 1 UA SUC,3217.7,Riu Blanc Alt; Riu Blanc Baix,proposta,vigent,parcelles.json,,537567.42,26067.19,IGUAL
R0130,PRATS_DE_L_OBAC_2,01 1 UA SUC,7410.9,Prats de l'Obac 2,proposta,vigent,parcelles.json,,537575.07,26009.53,IGUAL
R0131,ENCAMP_1,01 1 UA SUC,11237.6,Cal Notari 5; Casa Areny 1; Encamp 1,proposta,vigent,parcelles.json,,537586.5,26413.22,IGUAL
R0132,ESCARPIDERS,01 3 UA SUBLE,5880.2,Escarpiders,proposta,vigent,parcelles.json,,537595.93,25662.83,IGUAL
R0133,VENA,01 11 UA SUCc,2595.1,Vena,proposta,vigent,parcelles.json,,537600.49,26137.44,IGUAL
R0134,RIU_BLANC_BAIX,01 11 UA SUCc,2477.1,,proposta,vigent,parcelles.json,,537605.06,26088.53,IGUAL
R0135,CARDAGO,01 3 UA SUBLE,5824.9,Cardago,proposta,vigent,parcelles.json,,537626.95,26995.19,IGUAL
R0136,,01 2 UA SUNC,1443.8,,,vigent,parcelles.json,,537629.41,26454.75,IGUAL
R0137,,01 2 UA SUNC,1443.8,,,vigent,parcelles.json,,537629.41,26454.75,IGUAL
R0138,,01 3 UA SUBLE,687.9,,,vigent,parcelles.json,,537644.25,25811.46,IGUAL
R0139,TORRENTS_DE_L_OBAC_2,01 3 UA SUBLE,41401.9,Torrents de l'Obac 2; Torrents de l'Obac 3,proposta,vigent,parcelles.json,,537659.62,25880.41,IGUAL
R0140,,01 2 UA SUNC,1082.1,,,vigent,parcelles.json,,537665.74,26395.68,IGUAL
